word,prefixclass,suffix,ambisuffix,stemchange,stemchange.noD,comments
tell,,-d,-d,OW,OW,
think,,-t,-t,aught,aught,
throw,throw,-@,-@,UW,UW,
thrust,,-@,-t,no change,no change,
tread,,-@,-@,AA,AA,
understand,stand,-@,-d,stood,stood,
uphold,hold,-@,-@,EH,EH,
upset,set,-@,-t,no change,no change,
wake,wake,-@,-@,OW,OW,
wear,,-@,-@,AO,AO,
weave,,-@,-@,OW,OW,
wed,,-@,-d,no change,no change,
weep,,-t,-t,EH,EH,
wet,,-@,-t,no change,no change,
win,,-@,-@,AH,AH,
wind,,-@,-@,AW,AW,
withdraw,draw,-@,-@,UW,UW,
withhold,hold,-@,-@,EH,EH,
withstand,stand,-@,-d,stood,stood,
write,,-@,-@,OW,OW,
