"Corpus","Utterance"
"snow","don't know that one"
"snow","look at this Nathaniel"
"snow","www"
"snow","just a minute"
"snow","turn the page"
"snow","honey I don't know that one"
"snow","look at all the babys see all the babys"
"snow","what"
"snow","the pitopows again"
"snow","you find it and jingle"
"snow","I don't know that song do I"
"snow","biobows"
"snow","you have_to find biobows and then I'll sing it"
"snow","can you find it"
"snow","it goes"
"snow","oh dear what can the matter be"
"snow","dear dear what can the matter be"
"snow","oh dear what can the matter be"
"snow","Johnny's so long at the fair"
"snow","was that biobows"
"snow","don't know that one"
"snow","singing"
"snow","singing"
"snow","Mummy is singing"
"snow","Mummy can't sing that one"
"snow","she doesn't know it"
"snow","can't sing"
"snow","can't sing that one either"
"snow","can't sing that one either"
"snow","oh honey we'll have_to find one that Mummy knows"
"snow","baa black sheep have you any wool"
"snow","yes sir yes sir three bags full"
"snow","one for my master one for my dame"
"snow","and one for my little boy who lives in the lane"
"snow","don't know that one"
"snow","oh yes I do"
"snow","rain rain go away"
"snow","come again another day"
"snow","little girls yeah"
"snow","o that's a porcupine"
"snow","I can't sing that one"
"snow","I don't know it"
"snow","that's a picture"
"snow","ya can't sing a picture"
"snow","look at this"
"snow","those are all pictures that is a hen"
"snow","and a sheep"
"snow","cow"
"snow","honey"
"snow","I can't ya can't sing pictures"
"snow","you have_to sing notes"
"snow","that's a note"
"snow","that note is cow"
"snow","and this note is porcupine"
"snow","those are notes"
"snow","those are notes"
"snow","honey"
"snow","you have_to be able to read notes to sing notes"
"snow","and Mummy can't read them"
"snow","Mummy can read writing"
"snow","but she can't read notes"
"snow","Daddy can read notes"
"snow","when he comes home he'll read with ya"
"snow","that is a train that's right"
"snow","toot_toot"
"snow","what are those things up there"
"snow","that's the top of the train"
"snow","hmm"
"snow","that looks to me like"
"snow","I don't know that one"
"snow","don't know that one"
"snow","well we'll find another one that Mummy does know"
"snow","let's find one that Mummy knows"
"snow","Mummy doesn't know very many does she"
"snow","okay Mummy knows this one"
"snow","want me to sing this one"
"snow","glory glory hallelujah"
"snow","glory glory hallelujah"
"snow","glory glory hallelujah"
"snow","his"
"snow","you know this one"
"snow","row row row your boat gently down the stream"
"snow","merrily merrily merrily merrily life is but a dream"
"snow","yeah you read that one with Lia didn't ya"
"snow","we wish you a merry christmas we wish you a merry christmas"
"snow","we wish you a merry christmas and a happy new year"
"snow","don't know that one"
"snow","that's an angel"
"snow","sing angel"
"snow","I don't know the angel song"
"snow","here"
"snow","oh Tannenbaum oh Tannenbaum"
"snow","however green your branches"
"snow","you never change the whole year round"
"snow","you brighten up the snowy ground"
"snow","good idea"
"snow","jingle jingle jingle all the way"
"snow","oh what fun it is to ride"
"snow","in a one horse open sleigh"
"snow","jingle jingle jingle all the way"
"snow","oh what fun it is to ride in a one horse open sleigh"
"snow","what"
"snow","other one"
"snow","you like jingle"
"snow","you like to sing jingle"
"snow","here we sing this one sometimes"
"snow","Nathaniel"
"snow","you know this one"
"snow","over the river and through the woods"
"snow","to"
"snow","that's the one I'm doing"
"snow","the horse knows the way to carry the sleigh"
"snow","through the white and drifted snow"
"snow","over the river and through the woods"
"snow","oh how the wind does blow"
"snow","it stings the toes and bites the nose"
"snow","as over the ground we go"
"snow","over the river and through the woods"
"snow","run faster my dappled grey"
"snow","spring over the ground like a hunting hound for this is Thanksgiving day"
"snow","over the river and through the woods"
"snow","grandmother's house I spy"
"snow","my country tis of thee"
"snow","sweet land of liberty"
"snow","of thee I sing"
"snow","turn the page"
"snow","don't know this one"
"snow","that says"
"snow","dog goes bow_wow"
"snow","this says"
"snow","cow goes moo_moo"
"snow","honey I can only sing the words"
"snow","I can't sing the notes"
"snow","it says I bought me a cat and the cat pleased me"
"snow","what are you counting"
"snow","I bought me a cat and the cat pleased me"
"snow","I fed my cat under yonder tree"
"snow","cat goes fiddle_fee"
"snow","mhm under the tree"
"snow","oh that's the clocks again"
"snow","clocks again"
"snow","more clocks yeah"
"snow","that's not uh to sing"
"snow","don't know that one"
"snow","yeah Baaee's turning the page"
"snow","yeah I don't know that one either"
"snow","either"
"snow","well Nathaniel I think we're done"
"snow","really"
"snow","ya know what this says"
"snow","making"
"snow","making boop"
"snow","no it says making music"
"snow","making music"
"snow","on the what"
"snow","what's that"
"snow","the Indian book"
"snow","wanna do that one"
"snow","where's the milk"
"snow","in the cup"
"snow","in the cup is the milk"
"snow","what's that"
"snow","that's the apple"
"snow","banana"
"snow","that's the plate"
"snow","what's that"
"snow","no look at it carefully"
"snow","that's a cup of milk"
"snow","the vitamins"
"snow","yeah you had a vitamin this morning"
"snow","one vitamin"
"snow","Nathaniel you only get one vitamin a day"
"snow","you've had it already today"
"snow","no just the one vita bitatin"
"snow","Nathaniel Baum_Snow"
"snow","the top came off"
"snow","have_to put the top on very tight"
"snow","back very good"
"snow","you put this one back too"
"snow","it's hard to open the top"
"snow","is that a watch"
"snow","does Nathaniel have a watch"
"snow","listen you little bitatin freak"
"snow","you little bitatin freak"
"snow","no you've had your bitatin already today"
"snow","you've had them already today"
"snow","tomorrow morning you get some more vitamins"
"snow","tomorrow morning"
"snow","you know what that is Nathaniel"
"snow","that's a label"
"snow","label"
"snow","sticky yeah"
"snow","it's a label"
"snow","you wanna throw it away"
"snow","there"
"snow","you know what this is called"
"snow","open the yeah you can't call it a door"
"snow","ya have_to say open the necklace"
"snow","it's called a locket"
"snow","ya Nathaniel say"
"snow","locket"
"snow","locket yeah"
"snow","open the locket"
"snow","baby Nathaniel"
"snow","and Daddy"
"snow","other baby"
"snow","what other baby"
"snow","that's the other baby"
"snow","what's he doing"
"snow","what's he doing"
"snow","eating bread"
"snow","he's talking on the telephone"
"snow","talking on the telephone"
"snow","that's a bicycle"
"snow","he's got a bicycle on his"
"snow","that's the standard"
"snow","standard"
"snow","standard"
"snow","hi Nathaniel"
"snow","close the standard"
"snow","shall we put the picture on the table"
"snow","like this"
"snow","other bitatin yes"
"snow","but you had your vitamins already today"
"snow","why don't you go say hello to your Daddy"
"snow","Daddy's home"
"snow","oh you're gonna take that book to Daddy"
"snow","okay"
"snow","where's Daddy"
"snow","one t okay"
"snow","sit down in Baaee's lap and we can read the story"
"snow","oh this is a fun book"
"snow","this is your new book"
"snow","what's that"
"snow","those are two little children reading a book"
"snow","this says"
"snow","the sun came up this morning"
"snow","and chased the stars away"
"snow","then kissed my puppet on the nose"
"snow","with a how do ya do today"
"snow","turn the page please"
"snow","what are they doing Nathaniel"
"snow","getting dressed"
"snow","is that a sleepy"
"snow","that's the nurse"
"snow","she's helping them get dressed"
"snow","putting a shirt on"
"snow","he's putting his own shirt on"
"snow","and the little doll is all dressed"
"snow","where's the little doll"
"snow","down here"
"snow","down here the little doll"
"snow","and what's this"
"snow","window yes look this little baby has a nappie on"
"snow","well shall we read this verse"
"snow","it says"
"snow","put a piggy in a poke"
"snow","Zig_zag_zag"
"snow","oh turn the page turn the page"
"snow","oh what are they doing"
"snow","what are they doing"
"snow","what's that"
"snow","Daddy's got the clothes"
"snow","he's going to put them in the washing machine"
"snow","but he mustn't turn it on yet"
"snow","no not turn it on yet"
"snow","because we've got the tape recorder on"
"snow","well it's Mummy's tape recorder"
"snow","Nathaniel's is upstairs"
"snow","we'll turn his on when we're getting dressed"
"snow","when we take your sleepy off"
"snow","but you didn't tell me about the picture"
"snow","what's this"
"snow","it's a boat"
"snow","oh okay"
"snow","o they're dancing"
"snow","they're singing"
"snow","cobwebs cobwebs"
"snow","upstairs and down"
"snow","brush them away let's have a look at the prettiest pearls in town"
"snow","the prettiest pearls in town"
"snow","prettiest"
"snow","Butterprint knocks on the milk door"
"snow","what will he have today"
"snow","that's the door"
"snow","that's the milk door"
"snow","mhm"
"snow","and this is Butterkin"
"snow","what's the little girl riding"
"snow","she's riding a"
"snow","donkey"
"snow","a kaki"
"snow","you no you brought your donkey downstairs"
"snow","he was upstairs and you brought him downstairs"
"snow","mhm"
"snow","when we're finished with this book"
"snow","you can go ride him a little bit"
"snow","while I fix your breakfast"
"snow","Baaee fixes the breakfast"
"snow","what is Nathaniel going to have for breakfast"
"snow","have granola"
"snow","what else"
"snow","what else are you gonna have"
"snow","some yoghurt"
"snow","granola and yoghurt"
"snow","what else"
"snow","and some vitamins"
"snow","and what else"
"snow","some applesauce"
"snow","mm is applesauce yummy"
"snow","is applesauce yummy"
"snow","what are you doing"
"snow","what are you doing"
"snow","okay let's wipe it off since you sneezed all over it"
"snow","do the baby cake a one step a two step"
"snow","a wobble a bobble in the knee"
"snow","with the heel and a giddy_go round you go"
"snow","won't you do the baby cake for me"
"snow","those are the babies"
"snow","they're doing a cake"
"snow","handy dandy maple candy"
"snow","which hand do you choose"
"snow","hand with something in you win"
"snow","hand that's empty"
"snow","that's the sidewalk that's right"
"snow","turn the page please"
"snow","you know what this is Nathaniel"
"snow","this this is English for"
"snow","komt het muisje aangelopen"
"snow","komt het muisje aangelopen"
"snow","no okay"
"snow","one one cinnamon bun"
"snow","two two chicken stew"
"snow","three three cakes and tea"
"snow","four four"
"snow","I want more"
"snow","five"
"snow","five"
"snow","what's that"
"snow","what is that"
"snow","what's what's it look like"
"snow","look"
"snow","toothbrush yes"
"snow","how many are there"
"snow","pick it up"
"snow","toothbrush"
"snow","green that's right"
"snow","would you like your granola now Nathaniel"
"snow","oh you wanta finish reading the book"
"snow","come sit on Baaee's lap and we'll finish reading this book"
"snow","oh look"
"snow","colly_olly bumpkin merry go bet"
"snow","that's applesauce that's right"
"snow","this is a little pig song"
"snow","this goes"
"snow","this little pig found a hole in the fence"
"snow","this little pig jumped through"
"snow","this little pig headed straight for the garden"
"snow","this little pig did too"
"snow","this little pig said wee wee wee wee look what I see"
"snow","fee_figh_foe_fum a gingerbread baby"
"snow","what's this"
"snow","what's that"
"snow","what"
"snow","the baitishun"
"snow","that's that's a a stove"
"snow","oh you want some vitamins"
"snow","well let's finish the book and then you can have your breakfast and you can have vitamins breakfast"
"snow","off we go on a piggy ride"
"snow","goin upstairs"
"snow","look he's goin piggy"
"snow","see Daddy is carrying the little boy piggy"
"snow","that's right"
"snow","hup two three four marching out the castle door"
"snow","o little baby's sound asleep"
"snow","see"
"snow","all asleep on Baaee's shoulder"
"snow","yeah you did that last night"
"snow","you fell asleep on Baaee's shoulder almost"
"snow","look those are twins Nathaniel"
"snow","two little babys just the same age"
"snow","one of them has a rabbit"
"snow","here look"
"snow","big sister is holding on to little brother"
"snow","little brother big sister"
"snow","that's the end"
"snow","they're playin with the pussy"
"snow","pussy"
"snow","kitty"
"snow","meow meow meow"
"snow","would you like to"
"snow","okay you go sit in your chair and Daddy's gonna give you a bitatin"
"snow","boy what a big breakfast"
"snow","Daddy took one"
"snow","well eat it"
"snow","what's the matter"
"snow","oh it's a little hard"
"snow","want me to cut it up"
"snow","well take some other part then"
"snow","there"
"snow","is the butter all"
"snow","left"
"snow","yummy applesauce"
"snow","I must remember to make more next year"
"snow","mustn't I Nathaniel"
"snow","not very much more"
"snow","I could make you and Nathaniel matching vests"
"snow","I can't believe how much your Dutch has disappeared"
"snow","what"
"snow","both of it"
"snow","Daddy's wiping it up with a tissue"
"snow","you spilled it"
"snow","cold in here isn't it"
"snow","Nathaniel are you cold"
"snow","what sweetie"
"snow","I don't understand you"
"snow","Nathaniel's spoon is itchy"
"snow","it's a grapefruit spoon yeah"
"snow","it's itchy yeah"
"snow","itchy spoon don't you yes"
"snow","what did we crash into last night Nathaniel"
"snow","into the living room"
"snow","what else"
"snow","we crash"
"snow","what"
"snow","crash"
"snow","where's the flashlight"
"snow","oh"
"snow","it looks like a flashlight"
"snow","eh it's a microphone really"
"snow","really"
"snow","no"
"snow","what no"
"snow","no what"
"snow","microphone"
"snow","what's daddy doing"
"snow","mhm"
"snow","are you crashing the table"
"snow","all nuts that's right"
"snow","no more nuts now"
"snow","Baaee still has tea to drink"
"snow","and Nathaniel still has yoghurt"
"snow","what's all"
"snow","oh Mummy's all with her food"
"snow","but she still has tea"
"snow","Nathaniel's not done with the food no"
"snow","Nathaniel has some applesauce"
"snow","and yoghurt"
"snow","and granola"
"snow","and molasses"
"snow","did you have some molasses"
"snow","molasses"
"snow","those are glasses yeah"
"snow","glasses and molasses are different"
"snow","glasses are different from molasses"
"snow","what else do you like to eat for breakfast"
"snow","do you like Rice_krispies"
"snow","do you like Special_k"
"snow","do you like Cheerios"
"snow","eat the Cheerios"
"snow","do you like fruit cake"
"snow","do you like aspidispra"
"snow","those are vitamins"
"snow","you like vitamins don't ya"
"snow","aspidispra you like Nathaniel"
"snow","aspidispra you like"
"snow","u"
"snow","u"
"snow","roasted hippopotamus"
"snow","deep dinosaur"
"snow","what are you doing"
"snow","stirring it in a"
"snow","Nathaniel's all done okay"
"snow","gonna another book"
"snow","alright"
"snow","alright"
"snow","Nathaniel tooks the bib off"
"snow","Nathaniel brings that"
"snow","well why don't you show what's in it to Daddy"
"snow","show your other pictures to Daddy"
"snow","looks a bit washed out"
"snow","what's that called Nathaniel"
"snow","what's that called"
"snow","it's called a collage"
"snow","what color is it"
"snow","what color is the one that Daddy has"
"snow","Daddy has Nathaniel's"
"snow","how did you make this one Nathaniel"
"snow","wait a minute show it to Daddy"
"snow","how did you make it"
"snow","did you stamp it"
"snow","stamp stamp stamp stamp"
"snow","stamped it"
"snow","good one"
"snow","oh circles lots_of different colored circles"
"snow","how did you put the yarn on there"
"snow","glue that's right"
"snow","eyes"
"snow","I think we just disposed of it"
"snow","oh I didn't see that"
"snow","you did lots_of gluing didn't you Nathaniel"
"snow","which one do you like best Nathaniel"
"snow","did the top come off"
"snow","sometimes it comes off doesn't it"
"snow","which one do you want to hang up"
"snow","wanna hang that one up"
"snow","what do you mean ba"
"snow","you wanna draw"
"snow","okay well you don't"
"snow","I'll get you some crayons"
"snow","and a piece of paper"
"snow","here's some crayons"
"snow","okay let's you get up in your chair"
"snow","you get up in your chair and I'll get you some paper"
"snow","why don't you get some clean paper"
"snow","okay okay"
"snow","okay"
"snow","this paper back"
"snow","oh you want to use the back of the paper okay"
"snow","oh you're gonna do the front of the paper"
"snow","you're gonna"
"snow","gonna make a Dutch house"
"snow","have you told them at school that he's obsessed with Dutch houses"
"snow","you ought_to they won't know what he's talking about"
"snow","what's happening"
"snow","a crash between the crayons"
"snow","crash"
"snow","the crayons crash"
"snow","crash"
"snow","crayons crash"
"snow","that's the blue one"
"snow","it's purple really"
"snow","that's the yellow one that's right"
"snow","crash"
"snow","xxx"
"snow","no"
"snow","no"
"snow","what is it"
"snow","it's already open yeah"
"snow","but what color is it"
"snow","green that's right"
"snow","that's that's the uh crayon yeah"
"snow","it's already open"
"snow","Mummy opened it yes"
"snow","Mummy opened it"
"snow","opened Nathaniel's crayon"
"snow","big what"
"snow","oh"
"snow","what a pretty picture you're making Nathaniel"
"snow","what"
"snow","making a cross"
"snow","are you making a cross"
"snow","that's right that does say Nathaniel"
"snow","xxx"
"snow","show Daddy where it says Nathaniel boogle"
"snow","where does it say Nathaniel"
"snow","on your paper"
"snow","show Daddy"
"snow","yeah that's right"
"snow","you want to get another book"
"snow","okay"
"snow","oh you showed that to Daddy"
"snow","what's this say"
"snow","what's this say"
"snow","oh Nathaniel it's nine ten"
"snow","get a book"
"snow","oh that's a big picture"
"snow","why don't you show that to Daddy"
"snow","show it to Daddy that picture"
"snow","that's a nice one eh"
"snow","hmm"
"snow","let's see"
"snow","what is that"
"snow","gluing yes"
"snow","gluing"
"snow","what happened to the macaroni"
"snow","you had a macaroni glued on there"
"snow","did it fall off"
"snow","did the macaroni fall off"
"snow","you know what kind of a book that is Nathaniel"
"snow","it's a singing book that's right"
"snow","why don't you take that one to Daddy"
"snow","oh singing book"
"snow","Daddy'll read it with ya"
"snow","Daddy'll read it with ya"
"snow","yeah the newspapers fell off"
"snow","okay pick up the book and you can come sit in my lap"
"snow","that's a label"
"snow","yeah"
"snow","there shall we"
"snow","take the label off the book yeah"
"snow","take the label off"
"snow","what's that"
"snow","the what"
"snow","that's a vitamin"
"snow","fire engine"
"snow","those are vitamins over there"
"snow","what's this"
"snow","it's not a crash"
"snow","you've got crash on the brain"
"snow","where's your brain"
"snow","here's your brain in here"
"snow","in your head"
"snow","that's a parachute"
"snow","that's a cherry picker"
"snow","that's a what"
"snow","alligator"
"snow","that's a car"
"snow","yeah Dingo crashed into the apples"
"snow","crash"
"snow","is Dingo going backwards"
"snow","what's that"
"snow","no this isn't numbers"
"snow","this is a b c"
"snow","d"
"snow","e"
"snow","f"
"snow","g"
"snow","h"
"snow","i"
"snow","j"
"snow","k"
"snow","l"
"snow","what's that one"
"snow","that's m"
"snow","what's that"
"snow","more letters yeah"
"snow","that's the little pig"
"snow","that's the airplane"
"snow","that's another airplane"
"snow","lots_of airplanes"
"snow","that's one"
"snow","that's a second airplane"
"snow","this is a passenger plane"
"snow","and this is a jet plane"
"snow","this is like Mummy went in"
"snow","Mummy went in a plane like that when she"
"snow","that's a biplane"
"snow","mhm"
"snow","vroom vroom"
"snow","that's called the tail"
"snow","that's the tail of the airplane"
"snow","does Nathaniel have a tail"
"snow","a bottom yes"
"snow","what's that"
"snow","remember what that is"
"snow","that's a piano"
"snow","where's a piano"
"snow","no we don't have any pianos outside"
"snow","we had a piano in our old house"
"snow","our dutch house we had a piano"
"snow","that's a cannon"
"snow","those are funny animals"
"snow","those are the three beggars"
"snow","that's one of the three beggars"
"snow","that's mama bear"
"snow","what are they doing"
"snow","what are they doing"
"snow","they're doing a laundry"
"snow","that a not the laundry"
"snow","what is that"
"snow","that's"
"snow","that's a pickle barrel"
"snow","lots_of pickles"
"snow","are you eating the pickles"
"snow","what are you saying ouch for"
"snow","did you hurt yourself"
"snow","did you hurt yourself"
"snow","when when you s hurt yourself you say ouch yeah"
"snow","something wrong with your ears Nathaniel"
"snow","gunk"
"snow","gunk in your ears"
"snow","that's where's the soap"
"snow","there's the soap that's right"
"snow","o washing your hands washing your face"
"snow","washing the page"
"snow","are you washing hippopotamus"
"snow","that's nice"
"snow","get hippopotamus all clean"
"snow","dry off the water"
"snow","give him a pickle"
"snow","that was nice"
"snow","hippopotamus you get a pickle from the pickle barrel"
"snow","you wiping him off with the towel"
"snow","yeah do you hear Daddy in the other room"
"snow","that is Brambles the hedgehog"
"snow","hedgehog"
"snow","that's a buffalo"
"snow","there's Dingo in his car"
"snow","he's eating in his car yes"
"snow","alligator"
"snow","he's got lots_of teeth doesn't he"
"snow","do you have teeth too"
"snow","let's see"
"snow","Nathaniel has"
"snow","countin the teeth"
"snow","that's hair oil"
"snow","who's that"
"snow","I just told you who that was"
"snow","who"
"snow","no it's a buffalo"
"snow","mm that's not a teddy bear either"
"snow","no"
"snow","it's a buffalo"
"snow","who's that"
"snow","lion"
"snow","roar"
"snow","turn the page please"
"snow","that's a kitty"
"snow","mhm"
"snow","that's Dingo in his car"
"snow","those are all different kinds of tails"
"snow","what's that"
"snow","what's that"
"snow","what"
"snow","paint yes"
"snow","slide oh slide"
"snow","no it's it's a ladder that's tipping over"
"snow","it's a ladder"
"snow","falling over"
"snow","it looks like a slide doesn't it"
"snow","but it's not a slide"
"snow","it's not really a slide"
"snow","it's not really a slide"
"snow","it's a ladder right there yes"
"snow","it's not a slide it's a ladder"
"snow","yeah he's gonna fall off the ladder"
"snow","that is a dirty towel"
"snow","what's happening"
"snow","what's happening"
"snow","television he's watching"
"snow","television"
"snow","our television's in the living room that's right"
"snow","what are those"
"snow","crayons yes"
"snow","yeah you were drawing with crayons just now weren't you"
"snow","on a piece of paper"
"snow","yeah drawing on the paper"
"snow","tractor it's uh not a tractor"
"snow","it's a train"
"snow","I think Dingo just drove over somebody's hat"
"snow","Dingo"
"snow","that's Dingo again"
"snow","Dingo's driving down the driveway"
"snow","going down the driveway"
"snow","the kids are crossing the street"
"snow","crossing the street"
"snow","mm Dingo's driving down the driveway"
"snow","and he lets the kids cross"
"snow","cross the street"
"snow","cross the street right there"
"snow","that is daddy cat"
"snow","what"
"snow","that's a plant"
"snow","don't squeeze it please"
"snow","you'll break it"
"snow","don't squeeze it"
"snow","that's Mummy's tape recorder"
"snow","let's finish this book and then we can go upstairs and listen to Nathaniel's tape recorder"
"snow","what's that"
"snow","that's a bus"
"snow","no we're go you're goin this way honey"
"snow","we've seen this already"
"snow","oh let's look at the house over here"
"snow","turn the page"
"snow","boats"
"snow","look at all the houses"
"snow","you know what this is"
"snow","that is a dutch house"
"snow","the beggars in the train"
"snow","that's the crayons"
"snow","that's what we were just looking at"
"snow","that's a pickle"
"snow","what's octopus doing"
"snow","eating ice cream yes"
"snow","you like ice cream too yes I know you do"
"snow","that's a snake"
"snow","eat the snake"
"snow","eat the egg"
"snow","why don't you give the snake an egg"
"snow","here's an egg over here in the basket"
"snow","give one to the snake"
"snow","snakes love to eat eggs"
"snow","more eggs for the snake"
"snow","that's mama bear"
"snow","in the bakery"
"snow","we're gonna go to the bakery today and get some bread"
"snow","mm"
"snow","go to the bakery get some bread"
"snow","that's a tractor that's right"
"snow","that's hee the donkey"
"snow","hee the don"
"snow","yeah your kaki downstairs too"
"snow","yeah this kaki s name is hee"
"snow","your kaki s name is Kaaee"
"snow","hee hee hee"
"snow","that's right that's a clock upside down"
"snow","what's that"
"snow","that's Dingo's car"
"snow","he had a crash again"
"snow","Dingo"
"snow","alligator"
"snow","that's a well"
"snow","that's the house"
"snow","that's the barn"
"snow","meadow with haystacks in it"
"snow","it's a fence"
"snow","oh that's a bridge"
"snow","you're right"
"snow","that's a bridge"
"snow","there's an apple orchard too Nathaniel"
"snow","that's a ladder"
"snow","he built a big tower didn't he"
"snow","other clock yes"
"snow","no is this one isn't upside down"
"snow","this one's right side up"
"snow","fire engine"
"snow","that's the ladder"
"snow","does Nathaniel go up ladders sometimes"
"snow","does Nathaniel like to go up ladders"
"snow","climb up the ladder dee"
"snow","go down the slide whoosh"
"snow","climb up the ladder"
"snow","go down the slide whoosh"
"snow","which way"
"snow","this way"
"snow","cli up the ladder"
"snow","go down the slide"
"snow","there's the bus"
"snow","yes"
"snow","bus with stairs"
"snow","up"
"snow","down the stairs down the stairs"
"snow","up the stairs up"
"snow","oh Nathaniel we dropped the book with all of this horseplay"
"snow","horseplay"
"snow","oh there's the bus"
"snow","uhoh"
"snow","up"
"snow","down"
"snow","back down the stairs"
"snow","up"
"snow","down the slide"
"snow","okay let's turn the page"
"snow","watermelon"
"snow","yeah is Dingo driving down the driveway"
"snow","boom"
"snow","had a crash"
"snow","shall we turn the page Nathaniel we have_to go upstairs and get dressed pretty soon"
"snow","don't to go outside"
"snow","you wanna go outside and play in the snow"
"snow","okay you have_to get dressed first"
"snow","no who's that"
"snow","the snake's in bed yes"
"snow","what's wrong with that airplane"
"snow","is that airplane right side up"
"snow","or is it upside down"
"snow","it's going backwards oh"
"snow","that's a house"
"snow","it's a big house yeah"
"snow","the other octopus"
"snow","fingers the octopus"
"snow","that's a telephone booth"
"snow","read this book"
"snow","more of the same uh"
"snow","that's an iron"
"snow","toaster"
"snow","eating the toast"
"snow","put it in the toaster"
"snow","take it out again"
"snow","eat it"
"snow","have_to wait it's too hot"
"snow","wait a minute"
"snow","okay it's okay now"
"snow","you can eat it"
"snow","you ate up the toast"
"snow","honey that's not toast"
"snow","colander that's called"
"snow","okay well let's turn the page and see if we see some toast on the next page"
"snow","no toast"
"snow","let's see if there's any toast over here"
"snow","that's a bus yeah"
"snow","going down the hill yeah"
"snow","going down the driveway"
"snow","no it's going down the street"
"snow","you're gonna have_to learn about driveways and streets Nathaniel"
"snow","you're confused"
"snow","that's a taxi"
"snow","more toast"
"snow","let's see if we can find some toast"
"snow","is there any toast here"
"snow","no toast here"
"snow","any more toast here"
"snow","no toast"
"snow","we want some more toast"
"snow","where's some more toast for Nathaniel"
"snow","where's some toast"
"snow","is there any toast over here"
"snow","I'm sure there must be some toast somewhere Nathaniel"
"snow","there's some pie"
"snow","would you like a piece of pie"
"snow","oh you want toast okay"
"snow","here's lots_of pie"
"snow","hot toast you want"
"snow","no toast there"
"snow","find some toast for Nathaniel"
"snow","where's some toast"
"snow","where's some toast for Nathaniel"
"snow","where's some toast for"
"snow","where is it"
"snow","is it on this page"
"snow","is it on this page"
"snow","is there some on this page"
"snow","is there any on this page"
"snow","is there any toast anywhere for Nathaniel"
"snow","what"
"snow","that's a television yes"
"snow","turn the page please"
"snow","trains"
"snow","two trains"
"snow","byebye trains we're gonna turn the page now"
"snow","all kinds of trucks"
"snow","bus yeah"
"snow","bus and trucks"
"snow","and an ambulance"
"snow","I see an ambulance"
"snow","no over here"
"snow","ambulance"
"snow","and I see a trailer lorry"
"snow","that's right a trailer lorry truck yes"
"snow","oh gosh what do we see here"
"snow","a tree apple"
"snow","see apple"
"snow","see apple yeah"
"snow","this is called a village Nathaniel"
"snow","that's a truck"
"snow","yeah the he went over a big bump"
"snow","and almost fell out of the truck"
"snow","bump"
"snow","cra"
"snow","there's a bus"
"snow","and here's a train"
"snow","a here is a"
"snow","haystack"
"snow","a"
"snow","a haystack"
"snow","there's no haystack here"
"snow","there's an ax"
"snow","do you see the ax"
"snow","here's the ax"
"snow","it's an ax y you use"
"snow","no that's uh woods"
"snow","you use an ax to cut wood"
"snow","it's a boat"
"snow","that's called a gondola"
"snow","a gondola is a special kind of a boat"
"snow","that's a funny car"
"snow","it's a sh chariot car"
"snow","is it stuck"
"snow","is it a truck"
"snow","it's a car"
"snow","what's that"
"snow","that's a bus"
"snow","busy bus busy busy busy busy busy world bus"
"snow","a fire engine that's right"
"snow","car truck house kitchen"
"snow","that's a bus"
"snow","we'll have_to buy that book with that bus on it for you Nathaniel that's a very good book"
